video_id,subject,full_image_path,prompt
1,a clear glass of water,data/Real_Raw/001/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with a colorful effervescent tablet fizzing as it dissolves. The camera smoothly pans to the left, causing the glass to gradually exit the field of view. The camera then pans back to the right, and the glass re-enters the frame, revealing that the tablet has completely dissolved and the water has turned a vivid purple color."
2,a clear glass of water,data/Real_Raw/002/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with a colorful effervescent tablet fizzing as it dissolves. The camera smoothly pans to the right, causing the glass to gradually exit the field of view. The camera then pans back to the left, and the glass re-enters the frame, revealing that the tablet has completely dissolved and the water has turned a vivid purple color."
3,a clear glass of water,data/Real_Raw/003/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with a colorful effervescent tablet fizzing as it dissolves. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that the tablet has completely dissolved and the water has turned a vivid purple color."
4,a test tube filled,data/Real_Raw/004/FRAMES/frame_0001.jpg,"A first-person view of a test tube filled with cola on a lab stand, with a spoonful of salt being added. The camera smoothly pans to the left, causing the test tube to gradually exit the field of view. The camera then pans back to the right, and the test tube re-enters the frame, revealing that the cola is now violently overflowing with a dense eruption of foam and bubbles."
5,a test tube filled,data/Real_Raw/005/FRAMES/frame_0001.jpg,"A first-person view of a test tube filled with cola on a lab stand, with a spoonful of salt being added. The camera smoothly pans to the right, causing the test tube to gradually exit the field of view. The camera then pans back to the left, and the test tube re-enters the frame, revealing that the cola is now violently overflowing with a dense eruption of foam and bubbles."
6,a clear glass of water,data/Real_Raw/006/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with coffee powder being poured in. The camera smoothly pans to the left, causing the glass to gradually exit the field of view. The camera then pans back to the right, and the glass re-enters the frame, revealing that the coffee powder has fully dissolved and the water has turned a rich brown color."
7,a clear glass of water,data/Real_Raw/007/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with coffee powder being poured in. The camera smoothly pans to the right, causing the glass to gradually exit the field of view. The camera then pans back to the left, and the glass re-enters the frame, revealing that the coffee powder has fully dissolved and the water has turned a rich brown color."
8,a clear glass of water,data/Real_Raw/008/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with coffee powder being poured in. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that the coffee powder has fully dissolved and the water has turned a rich brown color."
9,a clear glass of water,data/Real_Raw/009/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water with a small marshmallow sinking quickly to the bottom. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that the marshmallow has completely dissolved and the water has turned a soft yellow color."
10,a clear glass of water,data/Real_Raw/010/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water with a small marshmallow sinking quickly to the bottom. The camera smoothly pans to the right, causing the glass to gradually exit the field of view. The camera then pans back to the left, and the glass re-enters the frame, revealing that the marshmallow has completely dissolved and the water has turned a soft yellow color."
11,a clear glass of water,data/Real_Raw/011/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water with a small marshmallow sinking quickly to the bottom. The camera smoothly pans to the left, causing the glass to gradually exit the field of view. The camera then pans back to the right, and the glass re-enters the frame, revealing that the marshmallow has completely dissolved and the water has turned a soft yellow color."
12,a disposable cup of water,data/Real_Raw/012/FRAMES/frame_0001.jpg,"A first-person view of a disposable cup of water with disinfectant being poured in. The camera smoothly pans to the left, causing the cup to gradually exit the field of view. The camera then pans back to the right, and the cup re-enters the frame, revealing that the disinfectant has diluted and the water has turned yellow and is filled with foam."
13,a disposable cup of water,data/Real_Raw/013/FRAMES/frame_0001.jpg,"A first-person view of a disposable cup of water with disinfectant being poured in. The camera smoothly tilts upward, causing the cup to gradually exit the field of view. The camera then tilts back down, and the cup re-enters the frame, revealing that the disinfectant has diluted and the water has turned yellow and is filled with foam."
14,a test tube containing baking soda,data/Real_Raw/014/FRAMES/frame_0001.jpg,"A first-person view of a test tube containing baking soda with white vinegar being poured in. The camera smoothly pans to the left, causing the test tube to gradually exit the field of view. The camera then pans back to the right, and the test tube re-enters the frame, revealing that a large quantity of bubbles is overflowing vigorously from the test tube."
15,a test tube containing baking soda,data/Real_Raw/015/FRAMES/frame_0001.jpg,"A first-person view of a test tube containing baking soda with white vinegar being poured in. The camera smoothly pans to the right, causing the test tube to gradually exit the field of view. The camera then pans back to the left, and the test tube re-enters the frame, revealing that a large quantity of bubbles is overflowing vigorously from the test tube."
16,a test tube containing baking soda,data/Real_Raw/016/FRAMES/frame_0001.jpg,"A first-person view of a test tube containing baking soda with white vinegar being poured in. The camera smoothly tilts upward, causing the test tube to gradually exit the field of view. The camera then tilts back down, and the test tube re-enters the frame, revealing that a large quantity of bubbles is overflowing vigorously from the test tube."
17,a glass of water,data/Real_Raw/017/FRAMES/frame_0001.jpg,"A first-person view of a glass of water on a table with disinfectant liquid being poured in. The camera smoothly pans to the right, causing the glass to gradually exit the field of view. The camera then pans back to the left, and the glass re-enters the frame, revealing that the disinfectant has dissolved in the water and the liquid has turned milky white."
18,a clear glass of water,data/Real_Raw/018/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with iodine being poured in. The camera smoothly pans to the left, causing the glass to gradually exit the field of view. The camera then pans back to the right, and the glass re-enters the frame, revealing that the iodine has dissolved in the water and the liquid has turned a dark brown color."
19,a beaker filled,data/Real_Raw/019/FRAMES/frame_0001.jpg,"A first-person view of a beaker filled with dark brown iodine solution with vitamin C solution being poured in. The camera smoothly pans to the left, causing the beaker to gradually exit the field of view. The camera then pans back to the right, and the beaker re-enters the frame, revealing that the brown iodine solution has completely decolorized and turned into a clear, colorless liquid."
20,a clear glass of water,data/Real_Raw/020/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with iodine being poured in. The camera smoothly pans to the right, causing the glass to gradually exit the field of view. The camera then pans back to the left, and the glass re-enters the frame, revealing that the iodine has dissolved in the water and the liquid has turned a dark brown color."
21,a beaker filled,data/Real_Raw/021/FRAMES/frame_0001.jpg,"A first-person view of a beaker filled with dark brown iodine solution with vitamin C solution being poured in. The camera smoothly pans to the right, causing the beaker to gradually exit the field of view. The camera then pans back to the left, and the beaker re-enters the frame, revealing that the brown iodine solution has completely decolorized and turned into a clear, colorless liquid."
22,a clear glass of water,data/Real_Raw/022/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with iodine being poured in. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that the iodine has dissolved in the water and the liquid has turned a dark brown color."
23,a beaker filled,data/Real_Raw/023/FRAMES/frame_0001.jpg,"A first-person view of a beaker filled with dark brown iodine solution with vitamin C solution being poured in. The camera smoothly tilts upward, causing the beaker to gradually exit the field of view. The camera then tilts back down, and the beaker re-enters the frame, revealing that the brown iodine solution has completely decolorized and turned into a clear, colorless liquid."
24,a tube of expanding foam adhesive,data/Real_Raw/024/FRAMES/frame_0001.jpg,"A first-person view of a tube of expanding foam adhesive being squeezed out onto a surface. The camera smoothly pans to the left, causing the foam to gradually exit the field of view. The camera then pans back to the right, and the foam re-enters the frame, revealing that the foam has expanded dramatically, puffing up into a large, textured mass."
36,a clear glass of water,data/Real_Raw/036/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with milk powder being poured in. The camera smoothly pans to the left, causing the glass to gradually exit the field of view. The camera then pans back to the right, and the glass re-enters the frame, revealing that the milk powder is dissolving and sinking, and the water has turned opaque white."
37,a clear glass of water,data/Real_Raw/037/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with milk powder being poured in. The camera smoothly pans to the right, causing the glass to gradually exit the field of view. The camera then pans back to the left, and the glass re-enters the frame, revealing that the milk powder is dissolving and sinking, and the water has turned opaque white."
38,a clear glass of water,data/Real_Raw/038/FRAMES/frame_0001.jpg,"A first-person view of a clear glass of water on a table with milk powder being poured in. The camera smoothly tilts upward, causing the glass to gradually exit the field of view. The camera then tilts back down, and the glass re-enters the frame, revealing that the milk powder is dissolving and sinking, and the water has turned opaque white."
40,a glass into which cola has just been poured,data/Real_Raw/040/FRAMES/frame_0001.jpg,"A first-person view of a glass into which cola has just been poured, generating a large head of foam. The camera smoothly pans to the right, causing the glass to gradually exit the field of view. The camera then pans back to the left, and the glass re-enters the frame, revealing that the foam has completely settled and disappeared, leaving only clear cola in the glass."
42,a test tube filled,data/Real_Raw/042/FRAMES/frame_0001.jpg,"A first-person view of a test tube filled with yellow carbonated drink with baking soda being added. The camera smoothly pans to the left, causing the test tube to gradually exit the field of view. The camera then pans back to the right, and the test tube re-enters the frame, revealing that the yellow drink is now overflowing with a large surge of dense foam."
43,a test tube filled,data/Real_Raw/043/FRAMES/frame_0001.jpg,"A first-person view of a test tube filled with yellow carbonated drink with baking soda being added. The camera smoothly pans to the right, causing the test tube to gradually exit the field of view. The camera then pans back to the left, and the test tube re-enters the frame, revealing that the yellow drink is now overflowing with a large surge of dense foam."
44,a test tube filled,data/Real_Raw/044/FRAMES/frame_0001.jpg,"A first-person view of a test tube filled with yellow carbonated drink with baking soda being added. The camera smoothly tilts upward, causing the test tube to gradually exit the field of view. The camera then tilts back down, and the test tube re-enters the frame, revealing that the yellow drink is now overflowing with a large surge of dense foam."
45,a glass into which yellow soda has just been poured,data/Real_Raw/045/FRAMES/frame_0001.jpg,"A first-person view of a glass into which yellow soda has just been poured, generating abundant bubbles. The camera smoothly pans to the left, causing the glass to gradually exit the field of view. The camera then pans back to the right, and the glass re-enters the frame, revealing that the foam has completely subsided and the yellow soda sits flat and still in the glass."
46,a glass into which yellow soda has just been poured,data/Real_Raw/046/FRAMES/frame_0001.jpg,"A first-person view of a glass into which yellow soda has just been poured, generating abundant bubbles. The camera smoothly pans to the right, causing the glass to gradually exit the field of view. The camera then pans back to the left, and the glass re-enters the frame, revealing that the foam has completely subsided and the yellow soda sits flat and still in the glass."
